MPO_AREA,MPO_FIPS,MPO_NAME,population,injuries,collisions,injury_rate,collision_rate,year
Phoenix,MAG,Maricopa Association of Governments,4561038,2402,2248,10.532690146409655,9.857405266081976,2017
Portland,Metro,Oregon Metro,1760492,504,478,5.7256721416513114,5.430300166089934,2017
Sacramento,SACOG,Sacramento Area Council of Governments,2438232,1214,1108,9.958035166464882,9.0885526889976,2017
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,2356191,1323,1225,11.229989419363712,10.398138351262695,2017
San Diego,SANDAG,San Diego Association of Governments,3283665,1160,1090,7.0652761472318275,6.638923276278184,2017
Seattle,PSRC,Puget Sound Regional Council,3994119,1052,996,5.267744901942081,4.987332625793072,2017
St Louis,EWG,East-West Gateway Council of Governments,2274031,1096,1012,9.639270528853828,8.900494320438025,2017
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,4540219,3221,3006,14.188742877821534,13.241651999606185,2017
Washington DC,COG,Metropolitan Washington Council of Governments,5215735,1353,1264,5.188147020506218,4.846872013244538,2017
Atlanta,ARC,Atalanta Regional Commission,4716427,2201,2074,9.333336443031982,8.794793177123276,2018
Austin,CAMPO,Capital Area Metropoltian Planning Organization,2104101,1195,1066,11.358770325188763,10.132593444896418,2018
Baltimore,BMC,Baltimore Metropolitan Council,2178550,878,822,8.060407151545753,7.54630373413509,2018
Bay Area,MTC,Metropolitan Transportation Commission,7675798,2257,2136,5.8808217725375265,5.565545106841008,2018
Boston,MAPC,Metropolitan Area Planning Council,4378366,906,856,4.138530218807656,3.9101345113679393,2018
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,1453533,717,672,9.865617086092989,9.246436097426066,2018
Chicago,CMAP,Chicago Metropolitan Agency for Planning,8511032,2254,2080,5.296654976740776,4.8877738915797755,2018
Dallas,NCTCOG,North Central Texas Council of Governments,7373410,3618,3329,9.81364117823368,9.029743361619657,2018
Denver,DRCOG,Denver Regional Council of Governments,3128697,1166,1092,7.453582114215599,6.980541739900029,2018
Detroit,SEMCOG,Southeast Michigan Council of Governments,4744637,1924,1793,8.110209484940576,7.558007071984643,2018
Houston,H-GAC,Houston-Galveston Area Council,6949959,3499,3252,10.069124148789943,9.358328588701026,2018
Los Angeles,SCAG,Southern California Association of Governments,18809261,7909,7339,8.40968712167905,7.803602704008413,2018
Miami,SEFTC,Southeast Florida Transportation Council,6070944,3439,3232,11.329374805631545,10.647438026112578,2018
Minneapolis,Met Council,Metropolitan Council,3039708,573,533,3.7700989700326475,3.5069157958593387,2018
New York City,NYMTC,New York Metropolitan Transportation Council,12679749,2498,2361,3.940141086389013,3.7240484807704,2018
Newark,NJPTA,North Jersey Transporttrion Planning Authority,6689517,1769,1664,5.288872126343352,4.974948116583006,2018
Orlando,MetroPlan,Metro Plan Orlando,2114899,1289,1201,12.18970740446707,11.357516363665592,2018
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,5717224,1942,1852,6.793506778814334,6.478668668570621,2018
Phoenix,MAG,Maricopa Association of Governments,4673634,2507,2342,10.728268409550255,10.022179742786877,2018
Portland,Metro,Oregon Metro,1786256,531,500,5.945396404546717,5.598301699196532,2018
Sacramento,SACOG,Sacramento Area Council of Governments,2463103,1272,1161,10.328435311069006,9.427133173074775,2018
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,2404441,1314,1220,10.929775361508142,10.147888844018215,2018
San Diego,SANDAG,San Diego Association of Governments,3302833,1229,1152,7.442095921894931,6.97582953785432,2018
Seattle,PSRC,Puget Sound Regional Council,4072192,1122,1052,5.510545671716854,5.16675048720689,2018
St Louis,EWG,East-West Gateway Council of Governments,2277821,1149,1067,10.088589050676063,9.36860271285584,2018
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,4627802,3423,3196,14.793199881930992,13.81217260375444,2018
Washington DC,COG,Metropolitan Washington Council of Governments,5254200,1387,1303,5.279585855125423,4.959841650489133,2018
Atlanta,ARC,Atalanta Regional Commission,4781915,2363,2223,9.883069857996222,9.297530382702329,2019
Austin,CAMPO,Capital Area Metropoltian Planning Organization,2160971,1225,1101,11.337495968247607,10.18986372329846,2019
Baltimore,BMC,Baltimore Metropolitan Council,2187701,888,831,8.118111204410475,7.597016228451694,2019
Bay Area,MTC,Metropolitan Transportation Commission,7710026,2353,2218,6.103740765595343,5.753547394003601,2019
Boston,MAPC,Metropolitan Area Planning Council,4396863,880,837,4.002853852849179,3.8072598577667764,2019
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,1481066,741,695,10.006306268593027,9.385132060286308,2019
Chicago,CMAP,Chicago Metropolitan Agency for Planning,8483267,2344,2182,5.526172876558053,5.144244546352248,2019
Dallas,NCTCOG,North Central Texas Council of Governments,7507217,3733,3424,9.945096831488952,9.121888976967096,2019
Denver,DRCOG,Denver Regional Council of Governments,3170992,1247,1160,7.865046647862877,7.316322463128257,2019
Detroit,SEMCOG,Southeast Michigan Council of Governments,4746537,1912,1777,8.056399855305035,7.4875640914628905,2019
Houston,H-GAC,Houston-Galveston Area Council,7056034,3525,3290,9.991448453904841,9.325351890311186,2019
Los Angeles,SCAG,Southern California Association of Governments,18838048,8066,7494,8.563519957057123,7.956238353358054,2019
Miami,SEFTC,Southeast Florida Transportation Council,6090660,3542,3318,11.630923413882895,10.895370945020737,2019
Minneapolis,Met Council,Metropolitan Council,3065147,604,568,3.9410834129651855,3.7061844015963996,2019
New York City,NYMTC,New York Metropolitan Transportation Council,12651756,2439,2310,3.8555912712828166,3.6516670097020523,2019
